

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
129.520  000.185  000.185: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tohtml.vim
129.675  000.103  000.103: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tutor.vim
129.891  000.115  000.115: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/zipPlugin.vim
134.832  000.372  000.372: require('nvim-treesitter.statusline')
135.243  000.407  000.407: require('nvim-treesitter.query_predicates')
135.245  002.325  001.546: require('nvim-treesitter')
135.731  003.047  000.722: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
139.366  000.175  000.175: require('nvim-ts-autotag._log')
139.602  000.234  000.234: require('nvim-ts-autotag.utils')
139.653  001.640  001.231: require('nvim-ts-autotag.internal')
139.656  003.007  001.367: require('nvim-ts-autotag')
139.720  003.200  000.193: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/opt/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
139.903  009.314  003.067: sourcing /Users/hadhikar/.config/nvim/plugin/packer_compiled.lua
140.617  000.185  000.185: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/editorconfig.lua
140.874  000.205  000.205: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/man.lua
141.047  000.133  000.133: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/nvim.lua
141.106  003.981: loading rtp plugins
142.620  000.273  000.273: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
143.352  000.130  000.130: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/lspsaga.nvim/plugin/lspsaga.lua
143.772  000.132  000.132: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
144.685  000.681  000.681: require('vim.filetype')
144.820  000.937  000.256: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
145.803  000.277  000.277: require('cmp.utils.highlight')
145.957  000.598  000.320: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
148.965  000.310  000.310: require('vim.lsp.log')
149.523  000.557  000.557: require('vim.lsp.protocol')
150.962  000.505  000.505: require('vim.lsp._snippet')
151.258  000.294  000.294: require('vim.highlight')
151.267  001.743  000.944: require('vim.lsp.util')
151.303  003.255  000.645: require('vim.lsp.handlers')
151.718  000.414  000.414: require('vim.lsp.rpc')
152.041  000.321  000.321: require('vim.lsp.sync')
152.432  000.391  000.391: require('vim.lsp.semantic_tokens')
152.854  000.420  000.420: require('vim.lsp.buf')
153.151  000.297  000.297: require('vim.lsp.diagnostic')
153.474  000.322  000.322: require('vim.lsp.codelens')
153.512  006.911  001.492: require('vim.lsp')
153.537  007.141  000.229: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
153.800  000.023  000.023: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
154.121  000.055  000.055: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
154.936  000.113  000.113: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
155.630  000.263  000.263: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
156.378  000.193  000.193: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/transparent.nvim/plugin/transparent.vim
156.947  000.158  000.158: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/vim-maximizer/plugin/maximizer.vim
157.486  000.196  000.196: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/vim-ReplaceWithRegister/plugin/ReplaceWithRegister.vim
158.256  000.463  000.463: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
158.667  000.140  000.140: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/vim-tmux-navigator/plugin/tmux_navigator.vim
158.838  006.917: loading packages
160.525  000.086  000.086: require('cmp_buffer.timer')
160.528  000.380  000.294: require('cmp_buffer.buffer')
160.529  000.853  000.474: require('cmp_buffer.source')
160.530  000.991  000.138: require('cmp_buffer')
160.592  001.176  000.185: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
161.132  000.192  000.192: require('cmp_nvim_lsp.source')
161.135  000.427  000.235: require('cmp_nvim_lsp')
161.144  000.474  000.048: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
161.502  000.229  000.229: require('cmp_path')
161.518  000.279  000.050: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
161.946  000.169  000.169: require('cmp_luasnip')
162.012  000.393  000.224: sourcing /Users/hadhikar/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
162.022  000.862: loading after plugins
162.030  000.008: inits 3
163.498  001.468: reading ShaDa
165.932  001.300  001.300: require('vim.filetype.detect')
170.190  000.600  000.600: require('editorconfig')
170.226  000.030  000.030: require('vim.fs')
170.904  000.405  000.405: require('luasnip.loaders.from_lua')
171.328  000.420  000.420: require('luasnip.loaders.from_snipmate')
171.621  000.289  000.289: require('luasnip.loaders.from_vscode')
171.658  005.116: opening buffers
172.231  000.573: BufEnter autocommands
172.257  000.026: editing files in windows
172.914  000.258  000.258: require('transparent.config')
173.388  000.473  000.473: require('transparent.cache')
173.643  001.352  000.621: require('transparent')
173.757  000.148: VimEnter autocommands
173.758  000.002: UIEnter autocommands
174.304  000.368  000.368: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/autoload/provider/clipboard.vim
174.308  000.182: before starting main loop
174.470  000.162: first screen update
174.471  000.001: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.380  000.380: --- NVIM STARTING ---
002.815  002.435: event init
003.831  001.016: early init
005.449  001.618: locale set
006.562  001.113: init first window
023.162  016.600: inits 1
023.226  000.064: window checked
023.969  000.743: parsing arguments
025.965  000.067  000.067: require('vim.shared')
026.038  000.031  000.031: require('vim._options')
026.040  000.072  000.040: require('vim._editor')
026.041  000.327  000.189: require('vim._init_packages')
026.044  001.748: init lua interpreter
026.451  000.406: expanding arguments
026.482  000.031: inits 2
027.097  000.615: init highlight
